sku ; nombre ; categoria ; precio ; stock ; vendidos
ELEC-00000 ; Xiaomi Auriculares Office 2020 ; ELECTRONICA ; 267.75 ; 56 ; 0
ROPA-00001 ; Nike Rojo Vestido Talla S ; ROPA ; 764.48 ; 15 ; 0
FOOD-00002 ; Kellogg's Integral Cereal 1L ; ALIMENTOS ; 113.78 ; 59 ; 0
HOME-00003 ; Miele Manual Ventilador ; HOGAR ; 686.83 ; 5 ; 0
ELEC-00004 ; Apple Laptop Lite 2024 ; ELECTRONICA ; 418.59 ; 91 ; 0
ROPA-00005 ; Zara Azul Pantalón Talla L ; ROPA ; 748.33 ; 45 ; 0
FOOD-00006 ; Nestlé Free Jugo 2L ; ALIMENTOS ; 283.29 ; 14 ; 0
HOME-00007 ; IKEA XL Silla ; HOGAR ; 38.99 ; 5 ; 0
ELEC-00008 ; Dell Mouse Lite 2023 ; ELECTRONICA ; 737.94 ; 3 ; 0
ROPA-00009 ; Adidas Naranja Pantalón Talla XS ; ROPA ; 220.70 ; 38 ; 0
FOOD-00010 ; Nestlé Free Cereal 1kg ; ALIMENTOS ; 894.50 ; 12 ; 0
HOME-00011 ; Whirlpool Automático Silla ; HOGAR ; 322.70 ; 38 ; 0
ELEC-00012 ; HP Smartwatch Max 2022 ; ELECTRONICA ; 789.44 ; 46 ; 0
ROPA-00013 ; Gucci Rosa Short Talla S ; ROPA ; 986.21 ; 22 ; 0
FOOD-00014 ; Pepsi Free Pan 1kg ; ALIMENTOS ; 997.41 ; 40 ; 0
HOME-00015 ; Tefal Fijo Batidora ; HOGAR ; 571.48 ; 56 ; 0
ELEC-00016 ; HP Monitor Max 2021 ; ELECTRONICA ; 436.96 ; 40 ; 0
ROPA-00017 ; Tommy Gris Vestido Talla M ; ROPA ; 655.58 ; 77 ; 0
FOOD-00018 ; Heinz Integral Queso 200g ; ALIMENTOS ; 457.33 ; 8 ; 0
HOME-00019 ; Whirlpool Compacto Ventilador ; HOGAR ; 87.66 ; 90 ; 0
ELEC-00020 ; Xiaomi Router Gaming 2020 ; ELECTRONICA ; 541.65 ; 29 ; 0
ROPA-00021 ; Adidas Gris Chaqueta Talla XS ; ROPA ; 360.40 ; 85 ; 0
FOOD-00022 ; General Mills Orgánico Queso 250ml ; ALIMENTOS ; 956.96 ; 27 ; 0
HOME-00023 ; Black&Decker Manual Silla ; HOGAR ; 321.61 ; 9 ; 0
ELEC-00024 ; Lenovo Mouse Standard 2024 ; ELECTRONICA ; 534.45 ; 15 ; 0
ROPA-00025 ; Prada Azul Chaqueta Talla M ; ROPA ; 418.78 ; 44 ; 0
FOOD-00026 ; Kraft Natural Queso 500g ; ALIMENTOS ; 395.47 ; 61 ; 0
HOME-00027 ; Black&Decker Digital Lámpara ; HOGAR ; 411.66 ; 12 ; 0
ELEC-00028 ; Huawei Router Office 2023 ; ELECTRONICA ; 818.74 ; 36 ; 0
ROPA-00029 ; Prada Rojo Falda Talla L ; ROPA ; 383.45 ; 42 ; 0
FOOD-00030 ; Nestlé Bio Queso 1kg ; ALIMENTOS ; 642.86 ; 52 ; 0
HOME-00031 ; Siemens Digital Cafetera ; HOGAR ; 960.32 ; 49 ; 0
ELEC-00032 ; Lenovo Auriculares Pro 2022 ; ELECTRONICA ; 385.51 ; 82 ; 0
ROPA-00033 ; Calvin Amarillo Pantalón Talla S ; ROPA ; 351.72 ; 62 ; 0
FOOD-00034 ; Kellogg's Orgánico Jugo 1kg ; ALIMENTOS ; 345.83 ; 13 ; 0
HOME-00035 ; Whirlpool Compacto Aspiradora ; HOGAR ; 179.52 ; 57 ; 0
ELEC-00036 ; Apple Auriculares Lite 2021 ; ELECTRONICA ; 70.80 ; 70 ; 0
ROPA-00037 ; Tommy Rosa Vestido Talla S ; ROPA ; 663.77 ; 74 ; 0
FOOD-00038 ; Kraft Sin azúcar Queso 500g ; ALIMENTOS ; 168.59 ; 19 ; 0
HOME-00039 ; Bosch Pequeño Tostadora ; HOGAR ; 445.52 ; 85 ; 0
ELEC-00040 ; Asus Laptop Ultra 2020 ; ELECTRONICA ; 352.67 ; 24 ; 0
ROPA-00041 ; H&M Rojo Bufanda Talla XL ; ROPA ; 333.51 ; 46 ; 0
FOOD-00042 ; General Mills Económico Leche 1kg ; ALIMENTOS ; 579.82 ; 62 ; 0
HOME-00043 ; Rowenta Mediano Mesa ; HOGAR ; 981.21 ; 35 ; 0
ELEC-00044 ; Samsung Smartwatch Office 2024 ; ELECTRONICA ; 652.71 ; 18 ; 0
ROPA-00045 ; Puma Negro Sudadera Talla S ; ROPA ; 743.80 ; 50 ; 0
FOOD-00046 ; Unilever Integral Queso 500g ; ALIMENTOS ; 264.12 ; 44 ; 0
HOME-00047 ; Siemens Automático Ventilador ; HOGAR ; 151.44 ; 36 ; 0
ELEC-00048 ; Samsung Auriculares Lite 2023 ; ELECTRONICA ; 424.06 ; 95 ; 0
ROPA-00049 ; Prada Verde Chaqueta Talla S ; ROPA ; 595.03 ; 70 ; 0
FOOD-00050 ; Kellogg's Premium Yogurt 100g ; ALIMENTOS ; 514.28 ; 14 ; 0
HOME-00051 ; Philips Pequeño Batidora ; HOGAR ; 414.13 ; 44 ; 0
ELEC-00052 ; Sony Impresora Home 2022 ; ELECTRONICA ; 576.15 ; 63 ; 0
ROPA-00053 ; H&M Azul Falda Talla L ; ROPA ; 23.88 ; 38 ; 0
FOOD-00054 ; Pepsi Premium Yogurt 100g ; ALIMENTOS ; 417.58 ; 90 ; 0
HOME-00055 ; Black&Decker Portátil Microondas ; HOGAR ; 307.64 ; 21 ; 0
ELEC-00056 ; Asus Auriculares Standard 2021 ; ELECTRONICA ; 73.03 ; 24 ; 0
ROPA-00057 ; Prada Verde Gorra Talla XL ; ROPA ; 376.37 ; 39 ; 0
FOOD-00058 ; Kellogg's Sin azúcar Yogurt 1L ; ALIMENTOS ; 567.53 ; 10 ; 0
HOME-00059 ; Siemens Fijo Silla ; HOGAR ; 672.45 ; 39 ; 0
ELEC-00060 ; HP Router Lite 2020 ; ELECTRONICA ; 610.53 ; 98 ; 0
ROPA-00061 ; Zara Rojo Vestido Talla XL ; ROPA ; 226.90 ; 70 ; 0
FOOD-00062 ; Coca-Cola Económico Galletas 100g ; ALIMENTOS ; 609.39 ; 6 ; 0
HOME-00063 ; Braun Compacto Microondas ; HOGAR ; 82.37 ; 18 ; 0
ELEC-00064 ; LG Monitor Office 2024 ; ELECTRONICA ; 844.13 ; 39 ; 0
ROPA-00065 ; H&M Gris Falda Talla XS ; ROPA ; 362.46 ; 47 ; 0
FOOD-00066 ; General Mills Free Cereal 2L ; ALIMENTOS ; 925.52 ; 91 ; 0
HOME-00067 ; Miele Pequeño Silla ; HOGAR ; 248.38 ; 88 ; 0
ELEC-00068 ; Dell Smartwatch Gaming 2023 ; ELECTRONICA ; 497.76 ; 68 ; 0
ROPA-00069 ; H&M Rojo Gorra Talla XS ; ROPA ; 998.68 ; 94 ; 0
FOOD-00070 ; Danone Económico Galletas 750g ; ALIMENTOS ; 204.22 ; 17 ; 0
HOME-00071 ; Siemens Digital Silla ; HOGAR ; 825.48 ; 31 ; 0
ELEC-00072 ; Apple Monitor Lite 2022 ; ELECTRONICA ; 280.44 ; 53 ; 0
ROPA-00073 ; Levi's Blanco Short Talla S ; ROPA ; 481.93 ; 50 ; 0
